Sample,Concentration (M),DMSO Amount (%),MACl Additive (%),PbI2 additive (%),Curing source,Speed (mm/s),Temperature (Celsius),Spray Flow Rate (uL/min),Gas,Gas Flow Rate (LPM),Plasma Height (cm),Humidity (%),Cs/Br Content (%),Position (L/R),Spray Height (cm),Steady State Plasma?,Voc (V),Isc (A),Jsc (mA/cm2),Imax (A),Vmax (V),Pmax (mW),Fill Factor,Efficiency (%),R at Voc (Ohms),R at Isc (Ohms)
A1L 2020-01-25 14-27-50,0.3,67,0,0,New Plasma,100,155,3000,N2,15,1,48,17/17,L,5,No,0.97928686,0.0018473,8.79667728,0.00131624,0.69959233,0.92083049,50.9016,4.3849,127.7502,2184.395
A1R 2020-01-25 14-28-13,0.3,67,0,0,New Plasma,100,155,3000,N2,15,1,48,17/17,R,5,No,0.960428,0.00199763,9.51250709,0.00144841,0.69902671,1.01247586,52.7722,4.8213,110.308481,2072.577
A2L 2020-01-25 14-26-19,0.3,67,0,0,New Plasma,100,155,2000,N2,15,1,48,17/17,L,5,No,0.96726359,0.00337654,16.07876031,0.00272195,0.72047917,1.96110966,60.0462,9.3386,47.750394,2371.154
A3L 2020-01-25 14-23-46,0.3,67,0,0,New Plasma,200,155,4000,N2,15,1,47,17/17,L,5,No,0.99867357,0.00339744,16.17829338,0.00277908,0.73205854,2.03444869,59.9613,9.6879,71.760349,2702.679
A3R 2020-01-25 14-24-57,0.3,67,0,0,New Plasma,200,155,4000,N2,15,1,47,17/17,R,5,No,0.99472924,0.00339595,16.17118473,0.00271985,0.76123669,2.07045299,61.2914,9.8593,52.074472,2517.947
A4L 2020-01-25 14-18-25,0.3,67,0,0,New Plasma,250,155,4000,N2,15,1,47,17/17,L,5,No,0.98103486,0.0036495,17.37858911,0.0031514,0.74882592,2.35984654,65.9122,11.2374,52.023075,4524.89
A5L 2020-01-25 14-15-47,0.3,67,0,0,New Plasma,250,155,4000,N2,15,0.8,47,17/17,L,5,No,0.99602083,0.00347384,16.54210543,0.00298181,0.76579323,2.28344623,65.9952,10.8736,53.777928,4385.473
A5R 2020-01-25 14-16-27,0.3,67,0,0,New Plasma,250,155,4000,N2,15,0.8,47,17/17,R,5,No,0.92677346,0.00359869,17.13662141,0.00296291,0.69688009,2.06478962,61.9096,9.8323,38.226023,8828.746
A6L 2020-01-25 14-13-26,0.3,67,0,0,New Plasma,250,155,4000,N2,15,1,47,17/17,L,5,No,0.99739733,0.00369801,17.60958833,0.00326007,0.78420248,2.55655299,69.3135,12.1741,37.15568,7710.613
A6R 2020-01-25 14-12-13,0.3,67,0,0,New Plasma,250,155,4000,N2,15,1,47,17/17,R,5,No,0.9849335,0.00364411,17.35289811,0.00323729,0.78087305,2.52791393,70.431,12.0377,36.724166,8019.452
A9L 2020-01-25 14-03-11,0.15,67,0,0,New Plasma,100,155,3000,N2,15,1,47,17/17,L,5,No,1.00127586,0.0035464,16.88763663,0.00309578,0.74428694,2.30415049,64.8887,10.9721,66.599541,4700.818
A9R 2020-01-25 13-57-17,0.15,67,0,0,New Plasma,100,155,3000,N2,15,1,47,17/17,R,5,No,0.93199151,0.00335467,15.97461182,0.0028692,0.70375866,2.01922541,64.5837,9.6154,79.954492,3248.761
A9R 2020-01-25 14-04-27,0.15,67,0,0,New Plasma,100,155,3000,N2,15,1,47,17/17,R,5,No,1.00116737,0.00374471,17.83197506,0.00331016,0.76979239,2.54813286,67.9668,12.134,50.055253,7197.857
A10L 2020-01-25 14-44-52,0.15,67,0,0,New Plasma,200,155,4000,N2,15,1,47,17/17,L,5,No,0.95059861,0.00392238,18.67800617,0.00351699,0.74851859,2.63253009,70.6035,12.5359,33.092246,8200.436
A10R 2020-01-25 14-45-57,0.15,67,0,0,New Plasma,200,155,4000,N2,15,1,47,17/17,R,5,No,0.95396273,0.00383834,18.27783176,0.00347627,0.77150631,2.6819639,73.2449,12.7713,28.873754,8363.367
A11L 2020-01-25 14-52-21,0.15,67,0,0,New Plasma,200,155,4000,N2,25,1,47,17/17,L,5,No,0.9502954,0.00397818,18.94371471,0.00359378,0.79860757,2.87002237,75.9176,13.6668,20.287145,6052.28
A11L 2020-01-25 14-52-33,0.15,67,0,0,New Plasma,200,155,4000,N2,25,1,47,17/17,L,5,No,0.95049489,0.00398568,18.97945015,0.00359802,0.79855294,2.87320577,75.8427,13.6819,20.228161,6485.671
A11R 2020-01-25 14-51-56,0.15,67,0,0,New Plasma,200,155,4000,N2,25,1,47,17/17,R,5,No,0.95474294,0.00402755,19.17880923,0.00366686,0.80264102,2.94317174,76.54,14.0151,20.176674,8498.859
A12L 2020-01-25 14-54-12,0.15,67,0,0,New Plasma,200,155,4000,N2,35,1,47,17/17,L,5,No,0.87404988,0.00286005,13.61928903,0.00207919,0.63116705,1.31231495,52.4962,6.2491,52.504701,1379.248
A12R 2020-01-25 14-55-16,0.15,67,0,0,New Plasma,200,155,4000,N2,35,1,47,17/17,R,5,No,0.9471462,0.00312097,14.86173908,0.00243892,0.74866336,1.82592704,61.77,8.6949,31.684773,2003.152
A13L 2020-01-25 15-04-34,0.15,67,0,0,New Plasma,200,155,4000,N2,25,1.5,47,17/17,L,5,No,0.94323521,0.00406706,19.3669425,0.00359257,0.78005657,2.80240423,73.0517,13.3448,21.552215,6638.957
A13R 2020-01-25 15-07-25,0.15,67,0,0,New Plasma,200,155,4000,N2,25,1.5,47,17/17,R,5,No,0.95753142,0.00404758,19.27417471,0.00365949,0.80349843,2.94039591,75.8678,14.0019,19.227693,8073.015
A14L 2020-01-25 15-01-12,0.15,67,0,0,New Plasma,200,155,4000,N2,25,0.8,47,17/17,L,5,No,0.950065,0.00373981,17.80861386,0.00324498,0.78173818,2.53672685,71.3955,12.0797,24.138512,5597.372
A14R 2020-01-25 15-00-13,0.15,67,0,0,New Plasma,200,155,4000,N2,25,0.8,47,17/17,R,5,No,0.94284484,0.00386336,18.39693389,0.00345788,0.77549619,2.68157008,73.618,12.7694,23.485906,9187.965
